synid,class_name,urls,flickr_urls
n00448958,roller skating,1383,1135
n00449054,skateboarding,1944,1289
n00449168,speed skating,1517,841
n00449295,racing,1250,1019
n00449517,auto racing,1668,1052
n00449695,boat racing,1707,765
n00449796,hydroplane racing,1246,1234
n00449892,camel racing,1122,524
n00449977,greyhound racing,1137,677
n00450070,horse racing,1265,977
n00450335,riding,1707,698
n00450700,equestrian sport,1948,717
n00450866,pony-trekking,1086,164
n00450998,showjumping,1377,611
n00451186,cross-country riding,1251,1223
n00451370,cycling,1364,1016
n00451563,bicycling,1570,679
n00451635,motorcycling,2038,976
n00451768,dune cycling,80,16
n00451866,blood sport,22,5
n00452034,bullfighting,1272,546
n00452152,cockfighting,1044,552
n00452293,hunt,1582,552
n00452734,battue,15,0
n00452864,beagling,1318,79
n00453126,coursing,1480,699
n00453313,deer hunting,1499,1029
n00453396,ducking,1755,707
n00453478,fox hunting,1155,670
n00453631,pigsticking,86,9
n00453935,fishing,1250,950
n00454237,angling,1640,651
n00454395,fly-fishing,1754,823
n00454493,troll,1024,82
n00454624,casting,1718,801
n00454855,bait casting,93,29
n00454983,fly casting,1157,596
n00455076,overcast,390,313
n00455173,surf casting,1314,589
n00456465,day game,1084,812
n00463246,athletic game,1987,1047
n00463543,ice hockey,1875,1005
n00464277,tetherball,1187,678
n00464478,water polo,2001,1023
n00464651,outdoor game,1210,414
n00464894,golf,1680,695
n00466273,professional golf,1560,697
n00466377,round of golf,1236,1236
n00466524,medal play,1482,441
n00466630,match play,1584,466
n00466712,miniature golf,1395,662
n00466880,croquet,1166,681
n00467320,quoits,1018,423
n00467536,shuffleboard,617,290
n00467719,field game,1429,1374
n00467995,field hockey,1192,931
n00468299,shinny,711,362
n00468480,football,1815,921
n00469651,American football,1769,856
n00470554,professional football,1450,695
n00470682,touch football,1414,845
n00470830,hurling,1298,703
n00470966,rugby,1732,669
n00471437,ball game,1436,1405
n00471613,baseball,1851,1077
n00474568,ball,842,721
n00474657,professional baseball,1425,817
n00474769,hardball,190,52
n00474881,perfect game,444,297
n00475014,no-hit game,1640,623
n00475142,one-hitter,147,5
n00475273,two-hitter,1345,17
n00475403,three-hitter,1258,17
n00475535,four-hitter,765,13
n00475661,five-hitter,454,5
n00475787,softball,1908,1134
n00476140,rounders,29,2
n00476235,stickball,931,745
n00476389,cricket,1269,880
n00477392,lacrosse,1354,1111
n00477639,polo,1100,743
n00477827,pushball,195,25
n00478262,soccer,1395,1366
n00479076,court game,1817,935
n00479440,handball,1158,106
n00479616,racquetball,1244,1173
n00479734,fives,144,14
n00479887,squash,1114,529
n00480211,volleyball,1735,566
n00480366,jai alai,991,598
n00480508,badminton,1306,809
n00480885,battledore,383,53
n00480993,basketball,1838,768
n00481803,professional basketball,1213,641
n00481938,deck tennis,68,13
n00482122,netball,1423,1417
n00482298,tennis,1837,683
n00483205,professional tennis,1141,821
n00483313,singles,2410,939
n00483409,singles,1151,64
n00483508,doubles,1048,528
n00483605,doubles,521,108
n00483705,royal tennis,1941,817
n00483848,pallone,1135,597
n00523513,sport,1888,594
n00812526,clasp,112,83
n00825773,judo,1596,557
n00887544,team sport,1379,1129
n01035504,Last Supper,110,47
n01035667,Seder,3,2
n01055165,camping,1213,980
n01314388,pest,1040,644
n01314663,critter,1168,1066
n01314781,creepy-crawly,1311,1212
n01314910,darter,8,3
n01315213,peeper,775,353
n01315330,homeotherm,16,0
n01315581,poikilotherm,384,50
n01315805,range animal,398,335
n01316422,scavenger,936,597
n01316579,bottom-feeder,203,72
n01316734,bottom-feeder,379,223
n01316949,work animal,334,256
n01317089,beast of burden,1362,637
n01317294,draft animal,1105,505
n01317391,pack animal,100,64
n01317541,domestic animal,1413,1303
n01317813,feeder,1365,1155
n01317916,feeder,782,674
n01318053,stocker,133,95
n01318279,hatchling,1180,795
n01318381,head,1144,623
n01318478,migrator,118,17
n01318660,molter,60,6
n01318894,pet,1612,1563
n01319001,stayer,269,26
n01319187,stunt,334,273
n01319467,marine animal,1266,1105
n01319685,by-catch,112,18
n01320872,female,37,29
n01321123,hen,1248,1068
n01321230,male,908,502
n01321456,adult,723,663
n01321579,young,1363,586
n01321770,orphan,1167,781
n01321854,young mammal,1184,562
n01322221,baby,1345,747
n01322343,pup,1229,679
n01322508,wolf pup,1137,689
n01322604,puppy,1386,704
n01322685,cub,1270,916
n01322898,lion cub,1685,1183
n01322983,bear cub,1353,721
n01323068,tiger cub,1444,1038
n01323155,kit,563,454
n01323261,suckling,1163,635
n01323355,sire,1337,511
n01323493,dam,1221,429
n01323599,thoroughbred,1593,757
n01323781,giant,370,236
n01324305,mutant,3,0
n01324431,carnivore,1259,1103
n01324610,herbivore,1267,918
n01324799,insectivore,358,114
n01324916,acrodont,18,0
n01325060,pleurodont,67,0
n01326291,microorganism,1236,639
n01327909,monohybrid,31,2
n01329186,arbovirus,88,2
n01330126,adenovirus,414,16
n01330497,arenavirus,142,9
n01332181,Marburg virus,262,4
n01333082,Arenaviridae,59,1
n01333483,vesiculovirus,1,0
n01333610,Reoviridae,259,2
n01334217,variola major,200,2
n01334690,viroid,33,0
n01335218,coliphage,36,1
n01337191,paramyxovirus,94,1
n01337734,poliovirus,128,1
n01338685,herpes,1104,154
n01339083,herpes simplex 1,1017,17
n01339336,herpes zoster,1213,66
n01339471,herpes varicella zoster,1128,10
n01339801,cytomegalovirus,824,48
n01340014,varicella zoster virus,532,7
n01340522,polyoma,222,8
n01340785,lyssavirus,62,0
n01340935,reovirus,147,3
n01341090,rotavirus,337,1
n01342269,moneran,266,0
n01347583,archaebacteria,97,1
n01349735,bacteroid,78,1
n01350226,Bacillus anthracis,261,2
n01350701,Yersinia pestis,273,5
n01351170,Brucella,42,0
n01351315,spirillum,214,3
n01357328,botulinus,107,2
n01357507,clostridium perfringens,50,0
n01358572,cyanobacteria,83,71
n01359762,trichodesmium,115,3
n01362336,nitric bacteria,103,3
n01363719,spirillum,73,4
n01365474,Francisella,98,1
n01365885,gonococcus,409,6
n01366700,Corynebacterium diphtheriae,99,3
n01367772,enteric bacteria,290,5
n01368672,klebsiella,218,7
n01369358,Salmonella typhimurium,99,1
n01369484,typhoid bacillus,329,5
n01374703,nitrate bacterium,234,2
n01374846,nitrite bacterium,6,1
n01375204,actinomycete,123,0
n01376237,streptomyces,162,4
n01376437,Streptomyces erythreus,3,0
n01376543,Streptomyces griseus,10,0
n01377278,tubercle bacillus,90,3
n01377510,pus-forming bacteria,64,0
n01377694,streptobacillus,131,3
n01378545,myxobacteria,209,22
n01379389,staphylococcus,577,100
n01380610,diplococcus,292,5
n01380754,pneumococcus,243,6
n01381044,streptococcus,528,26
n01382033,spirochete,425,14
n01384084,planktonic algae,34,0
n01384164,zooplankton,531,65
n01384687,parasite,6,4
n01385017,endoparasite,61,0
n01385330,ectoparasite,177,12
n01386007,pathogen,193,5
n01386182,commensal,394,285
n01386354,myrmecophile,476,315
n01387065,protoctist,185,4
n01389507,protozoan,338,52
n01390123,sarcodinian,208,3
n01390763,heliozoan,157,30
n01392275,endameba,522,9
n01392380,ameba,792,196
n01393486,globigerina,9,1
n01394040,testacean,94,1
n01394492,arcella,156,38
n01394771,difflugia,7,0
n01395254,ciliate,1046,100
n01396048,paramecium,1141,252
n01396617,stentor,338,63
n01397114,alga,1366,939
n01397690,arame,230,12
n01397871,seagrass,1202,773
n01400247,golden algae,43,10
n01400391,yellow-green algae,40,2
n01402600,brown algae,731,209
n01403457,kelp,3,2
n01404365,fucoid,168,33
n01404495,fucoid,176,160
n01405007,fucus,669,250
n01405616,bladderwrack,461,77
n01407798,green algae,1030,764
n01410457,pond scum,1131,720
n01411450,chlorella,280,14
n01412694,stonewort,95,3
n01413457,desmid,436,41
n01414216,sea moss,22,0
n01415626,eukaryote,514,20
n01415920,prokaryote,40,1
n01416213,zooid,178,26
n01418498,Leishmania,428,30
n01418620,zoomastigote,59,0
n01419332,polymastigote,28,0
n01419573,costia,9,0
n01419888,giardia,354,48
n01421333,cryptomonad,149,1
n01421807,sporozoan,522,6
n01422185,sporozoite,192,5
n01422335,trophozoite,444,19
n01422450,merozoite,161,4
n01423302,coccidium,217,4
n01423617,gregarine,43,1
n01424420,plasmodium,998,94
n01425223,leucocytozoan,63,3
n01427399,microsporidian,5,0
n01429172,Ostariophysi,1,0
n01438208,cypriniform fish,44,0
n01438581,loach,790,410
n01439121,cyprinid,635,44
n01439514,carp,1168,800
n01439808,domestic carp,417,64
n01440160,leather carp,487,27
n01440242,mirror carp,238,238
n01440467,European bream,248,9
n01440764,tench,1133,375
n01441117,dace,742,53
n01441272,chub,56,55
n01441425,shiner,447,52
n01441910,common shiner,193,13
n01442450,roach,66,31
n01442710,rudd,347,33
n01442972,minnow,998,346
n01443243,gudgeon,1072,124
n01443537,goldfish,1172,664
n01443831,crucian carp,944,167
n01444339,electric eel,849,498
n01444783,catostomid,2,0
n01445429,buffalo fish,347,87
n01445593,black buffalo,5,0
n01445857,hog sucker,62,4
n01446152,redhorse,89,15
n01446589,cyprinodont,65,0
n01446760,killifish,1103,413
n01447139,mummichog,80,3
n01447331,striped killifish,838,178
n01447658,rivulus,594,57
n01447946,flagfish,220,11
n01448291,swordtail,1060,244
n01448594,guppy,1112,319
n01448951,topminnow,537,17
n01449374,mosquitofish,976,201
n01449712,platy,856,261
n01449980,mollie,412,210
n01450661,squirrelfish,329,206
n01450950,reef squirrelfish,286,35
n01451115,deepwater squirrelfish,22,0
n01451295,Holocentrus ascensionis,31,1
n01451426,soldierfish,1032,345
n01451863,anomalops,35,6
n01452345,flashlight fish,24,2
n01453087,John Dory,560,58
n01453475,boarfish,221,39
n01453742,boarfish,104,25
n01454545,cornetfish,552,287
n01454856,stickleback,301,69
n01455317,three-spined stickleback,309,22
n01455461,ten-spined stickleback,26,0
n01455778,pipefish,1174,930
n01456137,dwarf pipefish,7,0
n01456454,deepwater pipefish,3,0
n01456756,seahorse,1272,1180
n01457082,snipefish,25,2
n01457407,shrimpfish,348,174
n01457852,trumpetfish,1293,885
n01458746,pellicle,15,1
n01458842,embryo,445,149
n01459791,fetus,1020,312
n01460303,abortus,94,3
n01461315,spawn,443,274
n01461646,blastula,129,2
n01462042,blastocyst,508,22
n01462544,gastrula,569,7
n01462803,morula,361,27
n01464844,yolk,1300,1210
n01466257,chordate,3,1
n01467336,cephalochordate,5,0
n01467804,lancelet,126,7
n01468238,tunicate,573,198
n01468712,ascidian,1087,196
n01469103,sea squirt,1097,409
n01469723,salp,329,23
n01470145,doliolum,68,0
n01470479,larvacean,35,0
n01470733,appendicularia,6,0
n01470895,ascidian tadpole,13,0
n01471682,vertebrate,1044,975
n01472303,Amniota,661,41
n01472502,amniote,45,6
n01473806,aquatic vertebrate,383,11
n01474283,jawless vertebrate,2,0
n01474864,ostracoderm,78,0
n01475232,heterostracan,6,0
n01475940,anaspid,20,0
n01476418,conodont,54,1
n01477080,cyclostome,5,0
n01477525,lamprey,968,213
n01477875,sea lamprey,670,15
n01478511,hagfish,211,14
n01478969,Myxine glutinosa,98,3
n01479213,eptatretus,140,3
n01479820,gnathostome,35,0
n01480106,placoderm,175,12
n01480516,cartilaginous fish,62,5
n01480880,holocephalan,309,116
n01481331,chimaera,127,17
n01481498,rabbitfish,332,94
n01482071,elasmobranch,667,89
n01482330,shark,1219,978
n01483021,cow shark,266,13
n01483522,mackerel shark,95,20
n01483830,porbeagle,1089,26
n01484097,mako,1030,185
n01484285,shortfin mako,481,12
n01484447,longfin mako,97,2
n01484562,bonito shark,341,15
n01484850,great white shark,1242,1203
n01485479,basking shark,724,128
n01486010,thresher,385,73
n01486540,carpet shark,184,23
n01486838,nurse shark,1155,896
n01487506,sand tiger,1234,558
n01488038,whale shark,1185,701
n01488918,requiem shark,317,71
n01489501,bull shark,1143,456
n01489709,sandbar shark,991,301
n01489920,blacktip shark,1036,461
n01490112,whitetip shark,1006,640
n01490360,dusky shark,698,24
n01490670,lemon shark,1085,503
n01491006,blue shark,1023,517
n01491361,tiger shark,1019,780
n01491661,soupfin shark,129,3
n01491874,dogfish,717,277
n01492357,smooth dogfish,31,2
n01492569,smoothhound,796,111
n01492708,American smooth dogfish,10,0
n01492860,Florida smoothhound,12,0
n01493146,whitetip shark,979,390
n01493541,spiny dogfish,277,37
n01493829,Atlantic spiny dogfish,305,15
n01494041,Pacific spiny dogfish,123,4
n01494475,hammerhead,1094,771
n01494757,smooth hammerhead,376,9
n01494882,smalleye hammerhead,44,0
n01495006,shovelhead,754,222
n01495493,angel shark,1008,284
n01495701,ray,1286,1257
n01496331,electric ray,967,328
n01497118,sawfish,772,514
n01497413,smalltooth sawfish,90,16
n01497738,guitarfish,285,159
n01498041,stingray,1364,1351
n01498406,roughtail stingray,106,8
n01498699,butterfly ray,195,22
n01498989,eagle ray,1134,1098
n01499396,spotted eagle ray,1043,632
n01499732,cownose ray,298,162
n01500091,manta,1012,1002
n01500476,Atlantic manta,1168,588
n01500854,devil ray,432,121
n01501160,skate,1029,567
n01501641,grey skate,4,1
n01501777,little skate,5,0
n01501948,thorny skate,42,0
n01502101,barndoor skate,2,1
n01503061,bird,2126,1165
n01503976,dickeybird,1191,924
n01504179,fledgling,1304,1177
n01504344,nestling,1151,941
n01514668,cock,1361,1269
n01514752,gamecock,1261,937
n01514859,hen,1261,1012
n01514926,nester,35,17
n01515078,night bird,140,97
n01515217,night raven,74,8
n01515303,bird of passage,849,324
n01516212,archaeopteryx,5,2
n01517389,archaeornis,2,0
n01517565,ratite,747,594
n01517966,carinate,819,641
n01518878,ostrich,1393,975
n01519563,cassowary,1347,1064
n01519873,emu,1212,856
n01520576,kiwi,736,281
n01521399,rhea,1122,599
n01521756,rhea,1067,712
n01522450,elephant bird,2,0
n01523105,moa,2,0
n01524359,passerine,1204,1113
n01524761,nonpasserine bird,216,193
n01525720,oscine,355,54
n01526521,songbird,1148,1054
n01526766,honey eater,199,76
n01527194,accentor,1026,270
n01527347,hedge sparrow,1536,1193
n01527617,lark,1179,834
n01527917,skylark,1310,589
n01528396,wagtail,1358,1184
n01528654,pipit,1199,966
n01528845,meadow pipit,1085,545
n01529672,finch,1469,1118
n01530439,chaffinch,1137,889
n01530575,brambling,1488,670
n01531178,goldfinch,1379,1237
n01531344,linnet,1148,637
n01531512,siskin,1251,847
n01531639,red siskin,60,0
n01531811,redpoll,1207,973
n01531971,redpoll,1148,943
n01532325,New World goldfinch,1647,1624
n01532511,pine siskin,1123,792
n01532829,house finch,1487,1353
n01533000,purple finch,1154,988
n01533339,canary,1088,681
n01533481,common canary,901,361
n01533651,serin,951,466
n01533893,crossbill,1347,722
n01534155,bullfinch,1145,753
n01534433,junco,1456,1415
n01534582,dark-eyed junco,1167,881
n01534762,New World sparrow,223,47
n01535140,vesper sparrow,710,195
n01535469,white-throated sparrow,1252,991
n01535690,white-crowned sparrow,1184,1049
n01536035,chipping sparrow,1293,984
n01536186,field sparrow,1235,617
n01536334,tree sparrow,1312,1278
n01536644,song sparrow,1443,1067
n01536780,swamp sparrow,1250,666
n01537134,bunting,1544,1392
n01537544,indigo bunting,1296,1058
n01537895,ortolan,915,148
n01538059,reed bunting,1049,438
n01538200,yellowhammer,1112,661
n01538362,yellow-breasted bunting,158,23
n01538630,snow bunting,1300,694
n01538955,honeycreeper,1205,667
n01539272,banana quit,159,6
n01539573,sparrow,1523,1376
n01539925,English sparrow,1444,1311
n01540090,tree sparrow,1338,1065
n01540233,grosbeak,1400,1374
n01540566,evening grosbeak,1013,547
n01540832,hawfinch,1479,716
n01541102,pine grosbeak,1015,580
n01541386,cardinal,1236,1150
n01541760,pyrrhuloxia,710,264
n01541922,towhee,1598,1437
n01542168,chewink,428,247
n01542433,green-tailed towhee,438,171
n01542786,weaver,1115,933
n01543175,baya,615,363
n01543383,whydah,392,161
n01543632,Java sparrow,877,467
n01543936,avadavat,134,45
n01544208,grassfinch,350,79
n01544389,zebra finch,1280,846
n01544704,honeycreeper,960,604
n01545574,lyrebird,554,294
n01546039,scrubbird,1062,934
n01546506,broadbill,1037,556
n01546921,tyrannid,31,1
n01547832,New World flycatcher,1294,1140
n01548301,kingbird,1199,1148
n01548492,Arkansas kingbird,1078,680
n01548694,Cassin's kingbird,499,246
n01548865,eastern kingbird,1210,876
n01549053,grey kingbird,1062,288
n01549430,pewee,1181,641
n01549641,western wood pewee,937,290
n01549886,phoebe,1453,968
n01550172,vermillion flycatcher,1029,462
n01550761,cotinga,196,56
n01551080,cock of the rock,717,364
n01551300,cock of the rock,678,365
n01551711,manakin,1030,429
n01552034,bellbird,525,268
n01552333,umbrella bird,12,5
n01552813,ovenbird,1041,525
n01553142,antbird,521,251
n01553527,ant thrush,280,11
n01553762,ant shrike,138,5
n01554017,spotted antbird,17,5
n01554448,woodhewer,1248,663
n01555004,pitta,1052,540
n01555305,scissortail,894,412
n01555809,Old World flycatcher,1180,1088
n01556182,spotted flycatcher,1278,612
n01556514,thickhead,301,140
n01557185,thrush,1305,1150
n01557962,missel thrush,1145,542
n01558149,song thrush,1168,706
n01558307,fieldfare,1507,692
n01558461,redwing,1080,536
n01558594,blackbird,1256,873
n01558765,ring ouzel,799,115
n01558993,robin,1329,1106
n01559160,clay-colored robin,304,114
n01559477,hermit thrush,1230,630
n01559639,veery,655,217
n01559804,wood thrush,1206,657
n01560105,nightingale,1009,266
n01560280,thrush nightingale,1319,557
n01560419,bulbul,1036,878
n01560636,Old World chat,673,462
n01560793,stonechat,1267,832
n01560935,whinchat,1275,293
n01561181,solitaire,93,10
n01561452,redstart,1114,738
n01561732,wheatear,1140,704
n01562014,bluebird,1250,1139
n01562265,robin,1208,1039
n01562451,bluethroat,970,315
n01563128,warbler,1396,907
n01563449,gnatcatcher,1043,510
n01563746,kinglet,1273,1054
n01563945,goldcrest,1084,716
n01564101,gold-crowned kinglet,43,15
n01564217,ruby-crowned kinglet,1281,905
n01564394,Old World warbler,985,142
n01564773,blackcap,1473,714
n01564914,greater whitethroat,1149,353
n01565078,lesser whitethroat,1470,582
n01565345,wood warbler,552,256
n01565599,sedge warbler,1376,616
n01565930,wren warbler,1021,372
n01566207,tailorbird,820,540
n01566645,babbler,1205,805
n01567133,New World warbler,1150,560
n01567678,parula warbler,1240,670
n01567879,Wilson's warbler,1064,518
n01568132,flycatching warbler,15,0
n01568294,American redstart,1097,674
n01568720,Cape May warbler,1085,509
n01568892,yellow warbler,1091,810
n01569060,Blackburn,1076,423
n01569262,Audubon's warbler,822,293
n01569423,myrtle warbler,1028,687
n01569566,blackpoll,665,251
n01569836,New World chat,725,556
n01569971,yellow-breasted chat,1046,337
n01570267,ovenbird,1043,470
n01570421,water thrush,651,165
n01570676,yellowthroat,1345,828
n01570839,common yellowthroat,1212,673
n01571410,riflebird,55,21
n01571904,New World oriole,1261,1180
n01572328,northern oriole,1032,596
n01572489,Baltimore oriole,1337,890
n01572654,Bullock's oriole,1184,660
n01572782,orchard oriole,1066,599
n01573074,meadowlark,1023,635
n01573240,eastern meadowlark,1096,638
n01573360,western meadowlark,1082,623
n01573627,cacique,378,197
n01573898,bobolink,1056,586
n01574045,New World blackbird,1223,1104
n01574390,grackle,1181,828
n01574560,purple grackle,1030,672
n01574801,rusty blackbird,505,221
n01575117,cowbird,1325,923
n01575401,red-winged blackbird,1456,1109
n01575745,Old World oriole,1283,1199
n01576076,golden oriole,1049,578
n01576358,fig-bird,219,93
n01576695,starling,1123,851
n01577035,common starling,1192,1047
n01577458,rose-colored starling,9,5
n01577659,myna,1157,833
n01577941,crested myna,705,379
n01578180,hill myna,1241,1177
n01578575,corvine bird,502,405
n01579028,crow,1200,1187
n01579149,American crow,1190,840
n01579260,raven,1435,1215
n01579410,rook,1110,764
n01579578,jackdaw,1141,692
n01579729,chough,707,371
n01580077,jay,1257,1253
n01580379,Old World jay,61,4
n01580490,common European jay,11,0
n01580772,New World jay,1,0
n01580870,blue jay,1086,902
n01581166,Canada jay,1022,710
n01581434,Rocky Mountain jay,187,113
n01581730,nutcracker,625,440
n01581874,common nutcracker,407,70
n01581984,Clark's nutcracker,1103,633
n01582220,magpie,1402,1368
n01582398,European magpie,1171,708
n01582498,American magpie,387,158
n01582856,Australian magpie,1210,960
n01583209,butcherbird,913,568
n01583495,currawong,1134,755
n01583828,piping crow,735,542
n01584225,wren,1565,1423
n01584695,winter wren,1106,873
n01584853,house wren,1121,889
n01585121,marsh wren,1197,666
n01585287,long-billed marsh wren,728,386
n01585422,sedge wren,567,216
n01585715,rock wren,1115,540
n01586020,Carolina wren,1124,966
n01586374,cactus wren,1110,643
n01586941,mockingbird,1226,1066
n01587278,blue mockingbird,26,11
n01587526,catbird,1187,888
n01587834,thrasher,1107,862
n01588002,brown thrasher,1364,1062
n01588431,New Zealand wren,100,9
n01588725,rock wren,596,296
n01588996,rifleman bird,9,1
n01589286,creeper,1171,657
n01589718,brown creeper,1093,666
n01589893,European creeper,503,133
n01590220,wall creeper,129,17
n01591005,European nuthatch,1082,672
n01591123,red-breasted nuthatch,1180,788
n01591301,white-breasted nuthatch,1341,1283
n01591697,titmouse,1543,1107
n01592084,chickadee,1408,1376
n01592257,black-capped chickadee,1328,1267
n01592387,tufted titmouse,1560,1469
n01592540,Carolina chickadee,1152,855
n01592694,blue tit,1310,1042
n01593028,bushtit,1127,704
n01593282,wren-tit,197,38
n01593553,verdin,354,144
n01594004,fairy bluebird,1453,1341
n01594372,swallow,1420,1308
n01594787,barn swallow,1235,1078
n01594968,cliff swallow,1222,764
n01595168,tree swallow,1507,1481
n01595450,white-bellied swallow,1571,1521
n01595624,martin,374,103
n01595974,house martin,1018,559
n01596273,bank martin,1137,562
n01596608,purple martin,520,323
n01597022,wood swallow,1140,185
n01597336,tanager,1232,1100
n01597737,scarlet tanager,1009,662
n01597906,western tanager,906,501
n01598074,summer tanager,990,472
n01598271,hepatic tanager,302,82
n01598588,shrike,1600,1342
n01598988,butcherbird,1237,893
n01599159,European shrike,1091,434
n01599269,northern shrike,950,396
n01599388,white-rumped shrike,360,92
n01599556,loggerhead shrike,1064,565
n01599741,migrant shrike,221,23
n01600085,bush shrike,885,134
n01600341,black-fronted bush shrike,21,6
n01600657,bowerbird,1100,770
n01601068,satin bowerbird,854,453
n01601410,great bowerbird,102,30
n01601694,water ouzel,1028,706
n01602080,European water ouzel,160,4
n01602209,American water ouzel,276,144
n01602630,vireo,1120,890
n01602832,red-eyed vireo,876,432
n01603000,solitary vireo,334,79
n01603152,blue-headed vireo,731,237
n01603600,waxwing,1388,1235
n01603812,cedar waxwing,1218,1187
n01603953,Bohemian waxwing,1124,769
n01604330,bird of prey,1211,1179
n01604968,Accipitriformes,563,250
n01605630,hawk,1826,1680
n01606097,eyas,273,188
n01606177,tiercel,432,155
n01606522,goshawk,1388,963
n01606672,sparrow hawk,1097,716
n01606809,Cooper's hawk,1352,1326
n01606978,chicken hawk,195,114
n01607309,buteonine,25,0
n01607429,redtail,331,325
n01607600,rough-legged hawk,1072,655
n01607812,red-shouldered hawk,1319,1167
n01607962,buzzard,1264,1000
n01608265,honey buzzard,1213,596
n01608432,kite,1166,779
n01608814,black kite,1012,748
n01609062,swallow-tailed kite,1001,682
n01609391,white-tailed kite,1006,670
n01609751,harrier,1124,878
n01609956,marsh harrier,1097,628
n01610100,Montagu's harrier,574,227
n01610226,marsh hawk,1208,1014
n01610552,harrier eagle,1317,525
n01610955,falcon,1758,1735
n01611472,peregrine,1341,1024
n01611674,falcon-gentle,17,4
n01611800,gyrfalcon,1170,579
n01611969,kestrel,1348,1070
n01612122,sparrow hawk,1523,1167
n01612275,pigeon hawk,1182,796
n01612476,hobby,888,319
n01612628,caracara,1133,944
n01612955,Audubon's caracara,225,125
n01613177,carancha,1025,770
n01613294,eagle,1481,1460
n01613615,young bird,1238,989
n01613807,eaglet,882,392
n01614038,harpy,1142,728
n01614343,golden eagle,1189,1006
n01614556,tawny eagle,1089,671
n01614925,bald eagle,1263,1126
n01615121,sea eagle,1414,1362
n01615303,Kamchatkan sea eagle,747,308
n01615458,ern,1425,773
n01615703,fishing eagle,1287,1167
n01616086,osprey,1257,1246
n01616318,vulture,1418,1284
n01616551,Aegypiidae,11,0
n01616764,Old World vulture,179,60
n01617095,griffon vulture,1142,842
n01617443,bearded vulture,816,183
n01617766,Egyptian vulture,1041,418
n01618082,black vulture,1281,1271
n01618503,secretary bird,1124,875
n01618922,New World vulture,481,144
n01619310,buzzard,1196,1099
n01619536,condor,1175,1070
n01619835,Andean condor,1014,638
n01620135,California condor,1029,768
n01620414,black vulture,1205,952
n01620735,king vulture,1081,843
n01621127,owl,1296,1250
n01621635,owlet,1382,959
n01622120,little owl,1311,867
n01622352,horned owl,1313,1294
n01622483,great horned owl,1237,1147
n01622779,great grey owl,1117,940
n01622959,tawny owl,1224,880
n01623110,barred owl,1285,1249
n01623425,screech owl,1190,1130
n01623615,screech owl,1315,1287
n01623706,scops owl,1287,747
n01623880,spotted owl,1180,764
n01624115,Old World scops owl,1015,196
n01624212,Oriental scops owl,467,120
n01624305,hoot owl,493,456
n01624537,hawk owl,1092,572
n01624833,long-eared owl,1102,818
n01625121,laughing owl,159,34
n01625562,barn owl,1327,1278
n01627424,amphibian,1237,1158
n01628331,Ichyostega,1,0
n01628770,urodele,524,86
n01629276,salamander,1174,831
n01629819,European fire salamander,1153,732
n01629962,spotted salamander,1174,524
n01630148,alpine salamander,401,63
n01630284,newt,1193,1165
n01630670,common newt,1033,239
n01630901,red eft,1149,685
n01631175,Pacific newt,160,26
n01631354,rough-skinned newt,537,226
n01631512,California newt,461,233
n01631663,eft,1033,694
n01632047,ambystomid,34,3
n01632308,mole salamander,212,19
n01632458,spotted salamander,1077,592
n01632601,tiger salamander,994,335
n01632777,axolotl,1023,525
n01632952,waterdog,16,0
